alpha_acc,alpha_dec,beta_acc,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0
-0.27186715154182056,0.29879599998737333,0.0,0.0,0.0,0.0,0.0,-0.084187437996664,-0.11458934854879296
-0.2896928474737389,0.3175832269386033,0.019916593596103597,-0.022768713296631406,-0.030160181336865443,0.023008284394783238,0.0266202097915422,-0.10766155542572013,-0.14143250955884057
-0.3257731394990108,0.366782412661777,0.03336913955598743,-0.018999930282973056,-0.048026194931228165,0.13898791082483106,0.1493550716994212,-0.12608759067404357,-0.16581515720571338
-0.3768297212098507,0.35708103913852396,0.060731581295293366,-0.03524195505174711,-0.00944890605306755,0.2000512449181403,0.22365785059821774,-0.14932649595395253,-0.1887334327787925
-0.37596413353034724,0.3521806000128296,0.062003464427817,-0.018606530953775752,-0.0032044703594319626,0.20895575235897854,0.2278851382845099,-0.17166838743209986,-0.20195748265740407
-0.39388398558287524,0.3431380022240448,0.11208993775724087,0.024706661703552898,-0.012108924434481529,0.23218844270464384,0.2135823871184519,-0.19327344805472352,-0.18252255729795958
-0.41854161658341527,0.3267147886237488,0.1876726311032789,0.09306355159870944,-0.02508754923798975,0.2663811572786385,0.18972751075276403,-0.1946872239259891,-0.18626226399308174
-0.4560793125136858,0.3058316675726944,0.36375450458167874,0.2578169372341917,-0.05658842925782011,0.21906023855151469,0.2428061784629081,-0.19350053398823777,-0.1895316084145191
-0.3962146157545813,0.36360701286457847,0.5111195380877878,0.3084901572095716,-0.007300497708003471,0.2070149237269411,0.2564687587527768,-0.1976589097215514,-0.19650597022237498
-0.5568667016277096,0.3647475755751423,0.5939706928710441,0.4929626210843756,-0.1066795669421112,0.3466647250865684,0.5217404050844869,-0.2098136142027276,-0.23476177094296363
-0.7945429758687367,0.402722560568442,0.9311117716069162,0.9035467034816662,-0.012270512715460064,0.84591699658208,0.65640200606438,-0.23830025486474485,-0.218143097473041
-0.9422142817376649,0.3947624037383648,0.5787500972040898,0.7889969344863873,-0.025176082526296995,0.9168043231823158,0.8308812976903911,-0.20895675153633914,-0.2310670750322998
-0.9041935426303928,0.4176367108327416,0.5549392444297094,0.7394263064713585,-0.004540488517821375,0.9103022227149474,0.8254960381411043,-0.20578204941366238,-0.23405566281827078
-0.8388640795544892,0.47675228431046834,0.5896401831629987,0.706913985188944,0.04365025417300562,0.9145595772870125,0.8249580564829364,-0.21269096795917236,-0.23730230857438148
-0.799208341557843,0.527448688223473,0.654482801123746,0.7256272731600506,0.08615898847983917,0.9008429028981093,0.8138157621706299,-0.21202060933141403,-0.23472405551503076
-0.7924791268057565,0.5512372796883525,0.6665681754927479,0.7281516893150688,0.0966052425504388,0.8961649799270024,0.8218913377922172,-0.21175387125949258,-0.23799541078417716
-0.7857553222153014,0.5947381121989943,0.6687674298024522,0.7262226468680464,0.11812521028186629,0.8851173402127278,0.8243231317026661,-0.2109341479587819,-0.23995026137387274
-0.7886987284078707,0.6825305429742495,0.664806201348185,0.7268208778434306,0.16100160605424943,0.8817854512445926,0.82396425582094,-0.21244553532343574,-0.24129752331767887
-0.8308492006602598,0.8543954670645539,0.6500860253631683,0.7429068816156845,0.2337212714438952,0.8967589397629359,0.8181344694800669,-0.2154244951137862,-0.2415220903651734
-0.907599483932246,1.0095130415307874,0.6294890382370143,0.7685187889164545,0.279779351638503,0.9217333758095098,0.8064436757302625,-0.2178006292652219,-0.24025909883266458
-0.9742994369834886,1.2216901638107471,0.6026467657589751,0.7724117639282739,0.35712031352115897,0.9395486691471312,0.8135723320454304,-0.21553212358158505,-0.24303841380280994
-1.0368434629650003,1.3162089349585933,0.5900500859544691,0.7823382658848267,0.36915277221332504,0.9438082645104618,0.8102585061083872,-0.21496093392408921,-0.24268546110206318
-1.1292259996857648,1.512763428670151,0.5837152756074161,0.7985986303097048,0.41474249856327683,0.9334126267812685,0.823044743211858,-0.21542248450792795,-0.24391970211554737
-1.237996018356023,1.7281077645122453,0.571941570308525,0.8140686374689685,0.463488281531948,0.9147116632453427,0.8496238856351723,-0.21640896373613255,-0.24425331493697522
-1.3248135191550043,1.8688449218832357,0.5629899855887482,0.8248932980606414,0.48804884236573076,0.9000652419328603,0.871259918464447,-0.21794515390670194,-0.24327563699646992
