alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0,0
0.20929914852412065,-0.17990321826662173,0.0,0.0,0.0,0.0,0.0,0.0,-0.08390947937783008,-0.1330778756145109
0.2607600868225033,-0.2327651654706775,0.029090329623000667,0.01733778576688515,-0.058221697026389053,-0.027739555297776948,0.0512997959829906,0.0618460094815548,-0.09162522468733306,-0.07316203783456937
0.25982919083932055,-0.2615847719933738,0.023022237230417984,0.018764560791715845,-0.07061215167582881,-0.03368345903207808,0.12182569298058848,0.13445349728878087,-0.0997730514628445,-0.07771452459361286
0.294195005814104,-0.27256812485327875,0.021317945545526008,-0.018318928366920388,-0.11371912647229743,0.008746764302573692,0.24090581068351397,0.2839794845901975,-0.10112158114955455,-0.09016728397116304
0.32343850522436995,-0.3221299490289389,-0.027730954876687103,-0.06434866558385202,-0.09224307399270493,0.061614453076581886,0.29176745750248617,0.407898848223829,-0.07465637394876352,-0.04865135334942438
0.3181982256783392,-0.33641924591470185,-0.06784797324128439,-0.08072593111175054,-0.10983959716890597,0.06495900136484378,0.23535940981920833,0.5385811994248095,-0.11179385339693876,-0.04160227145577686
0.31284582087659696,-0.35966826217853887,-0.10894778881208014,-0.08975138121429206,-0.14257167627249756,0.05380487449483998,0.16304288199992562,0.6866413009208252,-0.09584134748654592,-0.05760025662839709
0.12201642686033198,-0.5808078695647869,-0.3288667822859253,-0.256142745203735,-0.5121418995527557,0.1664755674518325,0.10687111873834106,0.6761801351474435,-0.10787608488836256,-0.08101454497584411
0.1320713191927498,-0.5717104446031276,-0.39887472700308646,-0.22772268806256,-0.5516745546408485,0.17712780049272642,0.11252919384340117,0.6702470063617146,-0.10816683576958189,-0.07983271171508409
0.12604145431064934,-0.5793400072370009,-0.4306889876375156,-0.1660650969398184,-0.5810911043546706,0.22892720201250616,0.11029697595437514,0.6715228274111216,-0.10854218986303274,-0.08081683848588446
0.14467119012234567,-0.5794227881647886,-0.3515663938864986,-0.04392743586208436,-0.5003723796667272,0.2911221532876183,0.1942404005334781,0.8215660019485798,-0.10710005099377863,-0.11254886865381179
0.11938534794214795,-0.6295809156864763,-0.599580266515934,-0.17905101353264744,-0.7168534941103141,0.2199358748759085,0.2559026954478756,0.8809426203561758,-0.11160036325989685,-0.12765512281716027
0.1344690449347504,-0.6718810226642956,-0.44048246785505035,-0.007241937460174069,-0.5875240141057114,0.37359091328140237,0.3774337735924375,1.0401569023437574,-0.10794123571652123,-0.14690881914012802
0.10805711006337912,-0.7469849561100834,-0.4206042069833685,-0.006477880376710904,-0.6179014467091852,0.45228968998045826,0.4722843368905698,1.0127105813096997,-0.10236064752913909,-0.15422612273369707
0.11104673012919007,-0.7444997979555315,-0.39151173533107947,-0.022594409499171103,-0.5860019606730338,0.42637287036370913,0.49665038251993765,1.0292718751120344,-0.10864934390447867,-0.14789303459014946
0.11777959067409602,-0.7466051240156454,-0.3642160441267222,-0.017711023750270227,-0.5480763531730314,0.4177515415925741,0.5403884888617808,1.02930072744725,-0.10910301032327357,-0.1445879483064144
0.12124167300921283,-0.7587352797353277,-0.34499146506040573,-0.011872392232678691,-0.5118643825169744,0.4159219180762372,0.5856515762689224,1.017756983967145,-0.10819852789999464,-0.1428948466071045
0.13870608075426893,-0.7798513890696943,-0.3144542047542021,-0.004162321403087001,-0.44183953061918013,0.4214576723036456,0.6686519962429872,0.9927139621046933,-0.10677675286599055,-0.1398978358512174
0.16780496936924763,-0.8230009749567625,-0.29760375117087634,-0.0022976485142111253,-0.3464725389040625,0.4393160816953357,0.7676473183546327,0.974796306137015,-0.10498670263784463,-0.1403402989891808
0.2013441606713764,-0.8850185019772372,-0.34281826841738555,-0.005093820963150108,-0.2937688717004663,0.47912412525907794,0.8637826051979285,0.9834860934111593,-0.10647724422673027,-0.14467620797635766
0.20927119810757275,-0.8916100328088256,-0.40350961696093596,-0.01319327160568266,-0.3290997519716156,0.4844425170262106,0.8494180743795299,0.99712062446219,-0.10809769172012033,-0.1481177688603968
0.23528923710263808,-0.8771390454637943,-0.48044232527215547,-0.023205371435666228,-0.3541947589880573,0.4758409227878398,0.7883138186735591,1.012312217303474,-0.11016928562897173,-0.15087454617375964
0.24996600472063696,-0.8604237930402726,-0.48549388075901406,-0.029026239721885838,-0.35595171814240256,0.47018404719462015,0.7352868625343266,1.0255174815305275,-0.11164142230155231,-0.1498182554524046
0.28601921953928233,-0.8572944049385699,-0.4436194186908476,-0.02818949203357772,-0.2829406341869303,0.47200001754476906,0.7288530852359879,1.0326944132338771,-0.11261684513936676,-0.1483553653008219
0.3086869924565045,-0.8587046665896827,-0.404297028956911,-0.018857765247979857,-0.23909818042215158,0.47821898244112515,0.742654505150024,1.0292924337108054,-0.11260427082271347,-0.1471472339434229
0.36011694195375366,-0.8783659257510623,-0.3876427207176222,-0.009116831825508098,-0.17143702269018424,0.4870039259573309,0.8013806591762502,1.0139278489185544,-0.11198010073402447,-0.14701117458630028
0.40255090764008283,-0.8981309243602928,-0.39791965393302975,-0.012872780072370443,-0.14269363974370786,0.4859691911613144,0.8429140354851334,1.0012387310092241,-0.11080914709786199,-0.14794998596765185
0.46507326085134315,-0.921222844387461,-0.4113723897495925,-0.01377889778310993,-0.09576434774680191,0.49263039058234187,0.8666728786322436,0.9992959230893141,-0.11084370074689374,-0.14838157043843814
0.4899175486612002,-0.9372833523893382,-0.420579198760644,-0.014052139964387856,-0.09330916703937035,0.49994098968203116,0.8646804342668093,1.0040634114952172,-0.11107424731001705,-0.14850344753541644
0.5381229402968457,-0.9622990833948237,-0.41084721362002924,-0.01267028861714203,-0.0585092521135778,0.5116690579082548,0.8662942744925664,1.0086249401348582,-0.11134228146337095,-0.14851626870544954
0.5852656666308276,-0.9913945088346204,-0.3981876961034084,-0.005948687760189298,-0.024513735672481413,0.5269545497176074,0.8682437771966156,1.0079398776621906,-0.11164871243224957,-0.14831520887804064
0.6189906533635081,-1.0192869692654827,-0.3922425912475566,-0.0034072017770090147,-0.004129121928907145,0.5375678960623566,0.871029835755201,1.0044623390033296,-0.11159866166927294,-0.14827562120111284
0.6609839041112213,-1.0594828262466378,-0.39230608710884296,-0.00044319728627219626,0.01871301913140746,0.5518209822643926,0.8800298274737554,0.999566414887199,-0.11147422166763332,-0.14839989139189727
0.6879536231563713,-1.1061683125518431,-0.39133708474996404,0.0020948117721298794,0.027933129027396475,0.5667738190910363,0.8839746759989027,0.9947960725533227,-0.1112298893212526,-0.1486124389740974
0.7199682203696128,-1.1503957498820958,-0.3923976543613487,0.0041118438544142134,0.045871908770850844,0.581563149826515,0.893200942386927,0.993746567749891,-0.11114079155841827,-0.14878196424257448
0.7288297727598623,-1.1899039537707479,-0.39404916732857886,0.0069102257544123545,0.049927214257012464,0.5949319919626226,0.89662301935031,0.9958942892449609,-0.11120930058146264,-0.14881294722815844
