bc_acc,bc_dec,b_speed_c1,b_speed_c2,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc_p,lamda_dec_n,dn,sigma_acc,sigma_dec,sigma_dn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06174836118322805,-0.05746932524474682,-0.03795471456271888,0.03203011570157157,-0.1761917298390099,-0.15350020106719106,-0.34195017797009636,-0.300653867619961,0.5126013487856127,0.4357346730919761,0.16669262768108184,0.17136928351379835,-0.00622818163305232,-0.21143905286592626,-0.14212762344057295,-0.4169714401765867
-0.07208645819515902,-0.08140952122828216,0.023738726622064853,-0.03474566570366378,-0.26948906437067865,-0.2248761302997176,-0.5183851698641402,-0.4378761428777924,0.7801507551797635,0.6427942277096854,0.30797636884472146,0.32860780601096107,0.01576165180572469,0.3851619339328284,0.37002293173466827,-0.7794083657562435
-0.14597112553600422,-0.1646324028008698,0.0985124509459151,-0.10513998540243463,-0.25607931284712987,-0.20806002180047126,-0.4891363000303273,-0.4026731413739004,0.7386051131869195,0.5972976790832178,0.3252899241118552,0.3548050509872215,-0.041930000188382215,0.45663882865817107,0.4334658444274751,-1.1312449235372366
-0.17976125570730067,-0.1886032987347959,0.12887182406968462,-0.1425808431842025,-0.25255457268489484,-0.20289029884759027,-0.4809911335890025,-0.3916254261577188,0.7273291377865372,0.5835035326992205,0.33378110937723354,0.36681072170445844,0.014651515060986053,0.4599675938775244,0.457139327635133,-1.2164216901124232
-0.2761674704484518,-0.2636617697747229,0.29609140574705295,-0.3141122797679823,-0.25530408143246536,-0.1990894312633021,-0.4808819468424303,-0.3799064990901707,0.7310416580878009,0.5760545129814079,0.3864722400441645,0.4343317127041433,0.01262259269426024,0.4758606739625016,0.45350707688759023,-1.239088531425192
-0.789751031187095,-0.6689115844332476,0.40743036498629415,-0.39399710751621775,-0.2555353683952041,-0.17938610373267003,-0.45840204168448345,-0.3227057009214993,0.7145205268781681,0.5353806929547991,0.5937334226675521,0.704628564854326,-0.020442299576782216,0.49859103361709634,0.5204315136461634,-1.1781548167225535
-0.7725947185297297,-0.778814283757135,0.49351020699053677,-0.3159471943632788,-0.2486502015854923,-0.1709039122996872,-0.4326776142078436,-0.2961381567335923,0.6860042703640936,0.5222191580454872,0.7028298901997174,0.84698758492112,0.015781693157524854,0.5509586166823924,0.45009464824841067,-1.1776854217337616
-0.7349288953277807,-0.7977926044942336,0.5302959030709616,-0.2848986565331677,-0.24314012001223206,-0.15879042412979744,-0.40948310644286556,-0.2625593158174344,0.6617929138689992,0.5001900581835322,0.8114068249907502,0.9936755955476057,0.013393109549005825,0.5151843093251475,0.47479954127342816,-1.1789471057930736
-0.6988497235416338,-0.7723993050231376,0.513209889872105,-0.28769923831260685,-0.2299331794204349,-0.13694761347062892,-0.35880188109560057,-0.2002143466707315,0.6077198141484625,0.4636669068458994,1.021571952301499,1.2776683588351552,0.01678910160785046,0.5062777542111494,0.4480276080492734,-1.190008524857796
-0.7131411085408165,-0.7034923231361504,0.539602708000391,-0.26109172163117267,-0.18720061086558037,-0.15160785943643776,-0.2436467473156872,-0.21021014700632576,0.47043956661474695,0.5624520193286251,1.2082019817604341,1.4874135840332605,0.015473136246923539,0.49173525105359206,0.4407063262504297,-1.2024707228524405
-0.8717828685137291,-0.450112871167255,0.7035428814120568,-0.11416128174374174,-0.20738459178476837,0.02805229439122317,0.004687772002270246,0.21796950400836504,0.6820839195126434,0.7768799280032246,1.2436154507338428,1.6138174190817174,0.013361827538159496,0.5017014761700856,0.3954148746032132,-1.2275938870411092
-0.8301519606497342,-0.4860565631442514,0.6858273697000402,-0.15641141613592996,-0.20660080032944034,0.1827169916363346,0.28155773664919836,0.5444443258662945,0.8301906396513079,1.054782707059836,1.2937596163931115,1.6462104938939348,0.013959322722989278,0.48675278905162195,0.39009175197317697,-1.233214580729492
-0.8316535276669663,-0.46251834259744695,0.7160341353001952,-0.1799125985233753,-0.19786252419885506,0.534202536224982,0.7242647497203532,0.48957175481215587,1.1274413333124633,1.0638968685739507,1.6230342995933433,1.4451920539104208,0.011783341969198977,0.4664409983942402,0.3730202179944273,-1.2471579927580383
-0.8167439908852674,-0.47443697912838095,0.7596482229978627,-0.2555019415904791,-0.01527478471442345,0.9831754443971102,1.3485663188466934,0.06463774104330533,1.5144429461006188,0.9944220044002785,1.3293824589598409,1.691750726001148,0.009231117989485796,0.4275064361628315,0.3556943154188474,-1.2691207830633282
-0.8302307618683287,-0.4568060634790347,0.8698421159813735,-0.3711139573772956,0.5245182112578202,0.7492507253019149,1.0983734010535255,0.19093337195143834,1.5168285425608303,0.9957637888719275,1.1855010678980757,1.5951589659928462,0.0021877172621754416,0.36149538122206715,0.323152179895175,-1.310909455980167
-0.6539539448921902,-0.2610709960675991,1.0085779339176877,-0.5056847486566034,0.9041697158119022,1.2738458565512096,0.4583690323518521,-0.009268807041115379,1.1360753424306511,0.878710692983488,1.2644698495487539,1.3453315444015872,-0.00513870396843462,0.21046146787292494,0.20015641387822608,-1.4979224181521569
-0.5567894861179858,-0.16647472755113069,1.0800891934396133,-0.5792927969155685,0.8381749514817532,0.24217086541081412,1.2699273453283089,0.16093151913891643,1.5539729518227905,0.6443745116987842,1.1850391527167887,1.2556438525612383,-0.009653578617570751,0.1278954373585493,0.14957200722943328,-1.602400030561177
-0.46409897496327956,-0.015016587831226391,1.2591401474066253,-0.7229057968766848,-0.9146253033576363,1.4319049098956809,1.1251914344297402,0.5215727197595353,0.7652210584119665,1.404989659937725,0.40546807582328837,1.2769380154507899,-0.016371580343781812,0.009979848682111367,0.06399937627711937,-1.812444688861185
-0.3685418135576969,0.018381500854924376,1.3489252902765287,-0.9079634061679653,-0.2562181049838391,0.2178741960642534,0.15828825949533776,0.3309468780793935,0.33418670763937475,0.6530813447655123,0.7819241514683164,0.8417583201159353,-0.015958083727697817,-0.0708466299953401,-0.039101448020877894,-2.0210493287872024
