alpha1,alpha2,beta1,beta2,sigma
0,0,0,0,0
-0.0014656957271989108,0.0022772800081784085,0.0,0.0,-0.0003294397106254069
-0.10461031475662985,0.002019831673663294,8.346747827702833e-06,0.0001679055086270454,-0.02390710969947044
-0.23381396958912493,0.0021666587679052118,1.844247865305757e-05,0.0003140919714412653,-0.31549339059716575
-0.42797118882565865,0.0021411784825462565,0.4220059016144157,1.7617821099736506,-0.22803623572923162
-0.41363788878065844,0.0033286130801144205,0.4422963946034941,2.8260838118522287,-0.21852360336351595
-0.3904335491978242,0.0027312081560893152,0.24654819178932688,2.171979742694643,-0.20243623655573686
-0.35039803251868495,0.0035468785920074186,-0.5541560248303312,2.3542132008015457,-0.21084082739166668
-0.34916005120912635,0.004064930911813125,-1.3558266425214993,2.3083329877600427,-0.2112897587769101
-0.3480094362376316,0.005355835649792308,-3.2717191496305142,2.42449278359772,-0.21186381008352728
-0.34798142229517276,0.006199049682538858,-4.396036610751919,2.6795291099123544,-0.21217504504430823
-0.34889336141473304,0.005974619131283133,-4.131810285413368,2.5674551599027473,-0.21208604135262665
-0.34875576097722144,0.005958063904221357,-4.056953058822911,2.5814689094691996,-0.21210929924142646
-0.3487515026102717,0.00598911917061441,-4.083696446674361,2.5841293547318043,-0.2121341399429327
-0.3487545044800377,0.005993652757639917,-4.0636606226638525,2.5817906597770692,-0.21213487676288917
-0.34875010915364946,0.0060033982029876875,-4.015392315156056,2.577203323377009,-0.21213404238305347
-0.34874621130192257,0.006019879911273894,-3.905305042204003,2.5671642042390164,-0.21213123367973774
-0.34874621130542716,0.006019879911626783,-3.9053050109790517,2.5671642010751023,-0.2121312336817722
-0.34874621130543065,0.006019879911621914,-3.905305010978697,2.5671642010745828,-0.2121312336817757
