alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0,0
0.23812724770599333,-0.1293456328009221,0.0,0.0,0.0,0.0,0.0,0.0,0.7683009395775408,0.5969746957950272
0.3316390085081425,-0.19025385612111903,0.011944158042418029,0.005865716859935921,-0.022031394020154894,-0.010877053192327192,0.016662875009512076,0.0027184610564063884,0.7065436918161719,0.6527255138606185
0.6583596986432194,-0.37888110487471305,0.01038126320575309,0.01583823614458222,-0.03254085241780069,-0.03499963422456191,0.10555640223549898,0.04348106423083166,0.7290029573269745,0.49718689854691966
0.8548061839474012,-0.4856112614722072,-0.052401371752154764,-0.001985169554366402,0.06816445401585816,-0.010905415831261665,0.17773804595686682,0.08817192512918709,0.7226274840293735,0.42931731339501544
1.158403853078526,-0.5580149754732416,-0.10329214965757688,-0.10665605127951983,0.1399295493309231,0.1546062515029265,0.2733930788671098,0.1937058410082201,0.7122041575097832,0.3394683239632193
1.3529450245929304,-0.3553593995664349,-0.1554615985847611,-0.06883322752977494,0.1419121834785304,0.0029661199862792975,0.41425048206419846,0.6047841422601091,0.6979186582488857,0.3385041799929014
1.4586831777061484,-0.2769773085834573,-0.17087792665521037,-0.10464487766776219,0.18070634148909115,-0.07266762332102072,0.2505865837511768,0.6664733916615022,0.6885836997229987,0.32751512182837117
1.4811845193324862,-0.25663217944845185,-0.2007295094696244,-0.3620626484154265,0.169662295410816,-0.23001606291719548,0.27226089909612167,0.6489072627129375,0.6840769601300005,0.3284941228602799
1.4616620217701972,-0.2971485949193147,-0.20024092450347447,-0.41329324715848925,0.1654224236017344,-0.2485425617073576,0.25728685839489696,0.689665518191369,0.6832460170201838,0.328151851072628
1.519233943203032,-0.318417387724186,-0.17059689207762513,-0.34948714163587286,0.20433844493888156,-0.20073273488009197,0.34096769282781325,0.694344477696458,0.6392423295497838,0.3420898760307832
